exp_a,exp_b,stimulus,expertise_a,expertise_b,distance,score,source_file
86,182,rectangle,high,low,470.0,0.8468468468468469,Java_high_Java_low_results.csv
87,56,rectangle,high,low,213.0,0.8987341772151899,Java_high_Java_low_results.csv
87,71,rectangle,high,low,219.0,0.9240506329113924,Java_high_Java_low_results.csv
87,74,rectangle,high,low,203.0,0.8565400843881856,Java_high_Java_low_results.csv
87,44,rectangle,high,low,209.0,0.8818565400843882,Java_high_Java_low_results.csv
86,132,rectangle,high,low,498.0,0.8972972972972973,Java_high_Java_low_results.csv
87,31,rectangle,high,low,253.0,0.906810035842294,Java_high_Java_low_results.csv
87,41,rectangle,high,low,288.0,0.9056603773584906,Java_high_Java_low_results.csv
87,60,rectangle,high,low,237.0,0.92578125,Java_high_Java_low_results.csv
87,63,rectangle,high,low,263.0,0.9359430604982206,Java_high_Java_low_results.csv
87,67,rectangle,high,low,212.0,0.8945147679324894,Java_high_Java_low_results.csv
87,94,rectangle,high,low,208.0,0.8776371308016878,Java_high_Java_low_results.csv
87,101,rectangle,high,low,207.0,0.8734177215189873,Java_high_Java_low_results.csv
87,99,rectangle,high,low,209.0,0.8818565400843882,Java_high_Java_low_results.csv
86,208,rectangle,high,low,513.0,0.9243243243243244,Java_high_Java_low_results.csv
87,107,rectangle,high,low,220.0,0.9282700421940928,Java_high_Java_low_results.csv
87,79,rectangle,high,low,251.0,0.9507575757575758,Java_high_Java_low_results.csv
86,200,rectangle,high,low,508.0,0.9153153153153152,Java_high_Java_low_results.csv
87,140,rectangle,high,low,206.0,0.869198312236287,Java_high_Java_low_results.csv
87,78,rectangle,high,low,222.0,0.9367088607594936,Java_high_Java_low_results.csv
87,128,rectangle,high,low,229.0,0.9423868312757202,Java_high_Java_low_results.csv
87,126,rectangle,high,low,293.0,0.9832214765100672,Java_high_Java_low_results.csv
87,138,rectangle,high,low,200.0,0.8438818565400844,Java_high_Java_low_results.csv
87,164,rectangle,high,low,220.0,0.9282700421940928,Java_high_Java_low_results.csv
87,124,rectangle,high,low,222.0,0.9367088607594936,Java_high_Java_low_results.csv
87,180,rectangle,high,low,212.0,0.8945147679324894,Java_high_Java_low_results.csv
87,104,rectangle,high,low,255.0,0.897887323943662,Java_high_Java_low_results.csv
87,162,rectangle,high,low,241.0,0.9128787878787878,Java_high_Java_low_results.csv
87,64,rectangle,high,low,347.0,0.940379403794038,Java_high_Java_low_results.csv
86,176,rectangle,high,low,509.0,0.9171171171171172,Java_high_Java_low_results.csv
86,179,rectangle,high,low,512.0,0.9225225225225224,Java_high_Java_low_results.csv
87,132,rectangle,high,low,391.0,0.9559902200488998,Java_high_Java_low_results.csv
87,186,rectangle,high,low,223.0,0.940928270042194,Java_high_Java_low_results.csv
87,200,rectangle,high,low,231.0,0.9746835443037974,Java_high_Java_low_results.csv
