exp_a,exp_b,stimulus,expertise_a,expertise_b,Shape,Direction,Length,Position,Duration,source_file
191,207,vehicle,medium,medium,0.9926814053093904,0.781160516788854,0.9900282655437168,0.9359588730707552,0.6419413919413919,Java_medium_results.csv
192,210,vehicle,medium,medium,0.9900408808881132,0.7660640485080993,0.9874077037328708,0.93226573608549,0.5872210953346856,Java_medium_results.csv
192,206,vehicle,medium,medium,0.9925519634803812,0.7305692192372788,0.9914537845343584,0.9480259688160674,0.5976190476190476,Java_medium_results.csv
192,215,vehicle,medium,medium,0.9923131181128904,0.7063306601002541,0.9899265224108876,0.8521013716105343,0.5897136177673875,Java_medium_results.csv
197,203,vehicle,medium,medium,0.9874023496684192,0.6339784442510513,0.9823575083289762,0.9039968091372528,0.6333333333333333,Java_medium_results.csv
171,206,vehicle,medium,medium,0.9933519962790338,0.6997247426779628,0.9916502907530136,0.927694039234702,0.5847701149425288,Java_medium_results.csv
191,215,vehicle,medium,medium,0.991808998928373,0.7199897054996869,0.9895507692394776,0.8954387216852886,0.7,Java_medium_results.csv
191,197,vehicle,medium,medium,0.988437872372028,0.7451003104274208,0.9843813172416106,0.9211408579001056,0.6203448275862068,Java_medium_results.csv
197,207,vehicle,medium,medium,0.9906684534532032,0.7418896005090256,0.9865318981143136,0.924481233295465,0.625,Java_medium_results.csv
192,202,vehicle,medium,medium,0.9875262646025948,0.6127750793236548,0.9822760884624177,0.8979476082803854,0.6410256410256411,Java_medium_results.csv
197,206,vehicle,medium,medium,0.9926120582654966,0.7040224557147083,0.990328861156068,0.9411154848393416,0.625,Java_medium_results.csv
192,214,vehicle,medium,medium,0.9921187548960416,0.6330017808595472,0.9907813090635722,0.9200515505681276,0.5976190476190476,Java_medium_results.csv
191,202,vehicle,medium,medium,0.9881484384326966,0.6962412019760169,0.981533234549207,0.9041917951712038,0.653846153846154,Java_medium_results.csv
171,207,vehicle,medium,medium,0.9938012147887576,0.7266383280997515,0.991676136977949,0.9473831113997236,0.6363636363636365,Java_medium_results.csv
169,202,vehicle,medium,medium,0.987398671816783,0.6196059133035889,0.9797505408141642,0.8676341807432995,0.6666666666666667,Java_medium_results.csv
192,207,vehicle,medium,medium,0.9918161860547704,0.610859007669564,0.9884173104675064,0.9356248109915752,0.6170212765957447,Java_medium_results.csv
202,203,vehicle,medium,medium,0.9864439348515416,0.5919231244361011,0.9781317387678028,0.8496086183811539,0.7000000000000001,Java_medium_results.csv
197,210,vehicle,medium,medium,0.9891135376212988,0.7322152892113291,0.9859018895976824,0.9144697265402904,0.6379310344827586,Java_medium_results.csv
203,210,vehicle,medium,medium,0.9913967588095438,0.643143198949494,0.9864657873480186,0.8564590717817316,0.6666666666666666,Java_medium_results.csv
197,215,vehicle,medium,medium,0.989799789201718,0.68284967169769,0.9867517194178343,0.865577317795035,0.6092258748674444,Java_medium_results.csv
203,206,vehicle,medium,medium,0.9938918941213106,0.5790715363846798,0.9927209141057683,0.8972651418154202,0.6956521739130435,Java_medium_results.csv
203,214,vehicle,medium,medium,0.9925370187925046,0.5955852197252414,0.9892579416078872,0.8621212898803712,0.736842105263158,Java_medium_results.csv
203,207,vehicle,medium,medium,0.9930425540928922,0.5560279354839353,0.9899504592646324,0.8383592548166195,0.625,Java_medium_results.csv
203,215,vehicle,medium,medium,0.9916036640746596,0.5529366030004421,0.9863961685112014,0.9054255499124274,0.5976190476190476,Java_medium_results.csv
168,214,vehicle,medium,medium,0.9920227365072116,0.6826288651913415,0.989371965092528,0.9175170534643852,0.7,Java_medium_results.csv
197,202,vehicle,medium,medium,0.987909840173444,0.6830078893937672,0.9819084959530175,0.933204899528652,0.6370223978919631,Java_medium_results.csv
202,210,vehicle,medium,medium,0.987307545151029,0.6228344905037606,0.9800355555875636,0.8807269580398209,0.6633333333333333,Java_medium_results.csv
171,202,vehicle,medium,medium,0.9884190565135266,0.6776597213983417,0.9823497832521194,0.9100466306191516,0.6086956521739131,Java_medium_results.csv
206,210,vehicle,medium,medium,0.993801898111204,0.7253799574337841,0.9932266186119014,0.9351429037107992,0.7142857142857142,Java_medium_results.csv
166,202,vehicle,medium,medium,0.9879998055879804,0.679848852364237,0.9827533649547076,0.8556802922444858,0.6363636363636365,Java_medium_results.csv
207,215,vehicle,medium,medium,0.9924125796217346,0.740160009453651,0.9909557724424184,0.8752224048697201,0.642324093816631,Java_medium_results.csv
202,206,vehicle,medium,medium,0.9896697894129394,0.6959820658014934,0.9836092002632848,0.926741341644989,0.6799999999999999,Java_medium_results.csv
206,207,vehicle,medium,medium,0.9937698323003727,0.7251913051491872,0.9925854585699788,0.9152723176950468,0.6666666666666666,Java_medium_results.csv
206,215,vehicle,medium,medium,0.993309895347652,0.7284088288438133,0.992399833329474,0.8605249450111373,0.7142857142857143,Java_medium_results.csv
210,215,vehicle,medium,medium,0.9915813750777508,0.7149280577192378,0.9879472730758596,0.9011099788133224,0.6399999999999999,Java_medium_results.csv
207,210,vehicle,medium,medium,0.9930915548103848,0.6274254480185557,0.990948585640412,0.9213123459711248,0.6066017316017316,Java_medium_results.csv
202,207,vehicle,medium,medium,0.9890379094851222,0.7269484849491208,0.9832890937873452,0.9233296442763892,0.6428571428571428,Java_medium_results.csv
151,214,vehicle,medium,medium,0.9935825157744776,0.7036872872657569,0.9922273349864246,0.8974134099453759,0.6666666666666666,Java_medium_results.csv
197,214,vehicle,medium,medium,0.9918888686898972,0.6698404554352413,0.9896530227829388,0.9072544229241396,0.638888888888889,Java_medium_results.csv
