exp_a,exp_b,stimulus,expertise_a,expertise_b,distance,score,source_file
80,60,vehicle,high,low,277.0,0.9052287581699346,Java_high_Java_low_results.csv
69,170,vehicle,high,low,302.0,0.934984520123839,Java_high_Java_low_results.csv
80,94,vehicle,high,low,119.0,0.875,Java_high_Java_low_results.csv
69,128,vehicle,high,low,418.0,0.847870182555781,Java_high_Java_low_results.csv
80,114,vehicle,high,low,84.0,0.9545454545454546,Java_high_Java_low_results.csv
80,104,vehicle,high,low,204.0,0.8831168831168831,Java_high_Java_low_results.csv
80,77,vehicle,high,low,364.0,0.93573264781491,Java_high_Java_low_results.csv
80,139,vehicle,high,low,103.0,0.9196428571428572,Java_high_Java_low_results.csv
80,79,vehicle,high,low,279.0,0.9,Java_high_Java_low_results.csv
80,124,vehicle,high,low,258.0,0.9052631578947368,Java_high_Java_low_results.csv
69,183,vehicle,high,low,294.0,0.930379746835443,Java_high_Java_low_results.csv
80,140,vehicle,high,low,204.0,0.918918918918919,Java_high_Java_low_results.csv
80,126,vehicle,high,low,283.0,0.8871473354231975,Java_high_Java_low_results.csv
69,64,vehicle,high,low,501.0,0.8462837837837838,Java_high_Java_low_results.csv
80,99,vehicle,high,low,271.0,0.9155405405405406,Java_high_Java_low_results.csv
80,132,vehicle,high,low,269.0,0.9087837837837838,Java_high_Java_low_results.csv
80,64,vehicle,high,low,552.0,0.9324324324324323,Java_high_Java_low_results.csv
80,164,vehicle,high,low,216.0,0.9191489361702128,Java_high_Java_low_results.csv
80,172,vehicle,high,low,146.0,0.8390804597701149,Java_high_Java_low_results.csv
80,180,vehicle,high,low,137.0,0.8670886075949367,Java_high_Java_low_results.csv
80,128,vehicle,high,low,462.0,0.9371196754563894,Java_high_Java_low_results.csv
69,176,vehicle,high,low,310.0,0.7598039215686274,Java_high_Java_low_results.csv
80,200,vehicle,high,low,156.0,0.8813559322033898,Java_high_Java_low_results.csv
80,170,vehicle,high,low,295.0,0.913312693498452,Java_high_Java_low_results.csv
80,183,vehicle,high,low,248.0,0.8857142857142857,Java_high_Java_low_results.csv
80,179,vehicle,high,low,347.0,0.9060052219321147,Java_high_Java_low_results.csv
