exp_a,exp_b,trial_id,expertise_a,expertise_b,Shape,Direction,Length,Position,Duration
31,201,5,low,none,0.9946327545628236,0.7012928804779569,0.9916899416989691,0.9164697696308951,0.6785714285714286
31,154,5,low,none,0.9942866790220642,0.7092225203625218,0.9926507397781978,0.9191157077664075,0.6808510638297873
31,211,5,low,none,0.9941457818978424,0.6995055482063667,0.9927483193038421,0.963932671632369,0.653846153846154
34,3,5,low,none,0.9934182973092973,0.7521082565932509,0.9922368913066717,0.950277973167795,0.6191683569979716
34,5,5,low,none,0.9937008264081252,0.730150003221475,0.99133581325836,0.9123071208420508,0.6348484848484849
34,12,5,low,none,0.9929275866623619,0.7112433036772756,0.9921694814952009,0.9221355747039592,0.6666666666666666
34,28,5,low,none,0.9933916680461653,0.7523290246400847,0.9905509509409826,0.8952293604313347,0.6363636363636365
34,30,5,low,none,0.9930362613612893,0.6740642682720399,0.9907396589348383,0.9564635258212492,0.6458333333333333
34,36,5,low,none,0.9916909240167996,0.6553038058952217,0.9899376654321482,0.898408751774112,0.6451612903225807
34,93,5,low,none,0.9931019651725466,0.6580828382878334,0.9917168132847958,0.8319132678470644,0.6097560975609756
34,110,5,low,none,0.9935392568861106,0.7450724119041452,0.991188262440375,0.8967059373536787,0.6457528957528957
34,96,5,low,none,0.9918558544546923,0.7575385608409481,0.9900734835096587,0.9358879742945372,0.6428571428571428
34,163,5,low,none,0.9917030731738317,0.7016490569826643,0.9887855934825839,0.9418877986204368,0.6521739130434783
34,181,5,low,none,0.9927644401876982,0.7407271383867978,0.9901234515768145,0.9323607983793215,0.65625
31,196,5,low,none,0.9891879042973826,0.7417726251164461,0.9835573542144781,0.8751609373654504,0.7000000000000001
34,204,5,low,none,0.9917969885659456,0.6328697865199768,0.9881568729535065,0.8890116629929302,0.6557377049180328
34,201,5,low,none,0.994046813047799,0.6521826563696326,0.9923283642363132,0.9052210703950224,0.6478537360890302
34,189,5,low,none,0.9937852343644512,0.7212961122486279,0.991256190715355,0.9364021521021011,0.6176470588235294
34,154,5,low,none,0.9938977152792077,0.711894351308465,0.992456085194373,0.9448310395922366,0.6875
34,211,5,low,none,0.993863693824857,0.747713091089754,0.9928330662170576,0.9328154197724309,0.683130081300813
35,3,5,low,none,0.9895259773642946,0.6913753332538997,0.9860319031609411,0.9209167126506322,0.4833147942157954
35,12,5,low,none,0.9910918372011951,0.7143607438265919,0.9864494002542706,0.8913983319619317,0.5513722730471499
35,5,5,low,none,0.9900207239713501,0.7867613662485109,0.9848134394279014,0.9354264289874299,0.55
35,28,5,low,none,0.9901153499919859,0.7618988005253388,0.9852394834724282,0.9346783309058249,0.5847701149425287
35,30,5,low,none,0.9906087019903557,0.7622253938763375,0.984900963566955,0.9269023643127807,0.5806451612903225
35,36,5,low,none,0.9902494727099075,0.718381634429607,0.9869511168879673,0.8994527330530792,0.4666666666666667
35,93,5,low,none,0.9907955175658447,0.6459588388432621,0.9858552217450112,0.8736982117288538,0.5476190476190476
35,110,5,low,none,0.9906735265114774,0.724137971780476,0.985494650935065,0.9212756618614482,0.5829288025889967
35,96,5,low,none,0.9893059385850678,0.7377801611432835,0.9869364534144812,0.9024467123626755,0.5976143421795596
34,196,5,low,none,0.9893921467292284,0.7374900811912386,0.9833714474532957,0.892870151541708,0.6590909090909092
35,163,5,low,none,0.9879450498178276,0.673635241888658,0.9848787160279313,0.9269145171955216,0.53125
35,181,5,low,none,0.9906894172257846,0.6840260318842732,0.9855887947924818,0.9407870196175259,0.5206098249576511
35,204,5,low,none,0.9868999794383165,0.5218262213074907,0.9795539776445811,0.8729376408232585,0.45307917888563043
35,201,5,low,none,0.9906032493506606,0.7138350016665482,0.9831621144629276,0.9322138888630038,0.6666666666666667
35,189,5,low,none,0.9902267528707133,0.7503860105764288,0.9873681866361871,0.9204884203219144,0.6
35,154,5,low,none,0.9928076138188173,0.7107640187145696,0.9909969903039585,0.9169132608207495,0.568733153638814
37,3,5,low,none,0.9926927545115722,0.7394172860316246,0.9905502640225471,0.9079099991442209,0.6267857142857142
35,211,5,low,none,0.9916264823657064,0.7530000749677468,0.987353074334852,0.9443902401124592,0.558139534883721
37,5,5,low,none,0.992623335333987,0.7062951231626982,0.9903848080004524,0.9485435899826598,0.6248609566184649
37,28,5,low,none,0.9931697051961494,0.705216398013669,0.989330660394347,0.8592566465024609,0.6165158371040724
37,12,5,low,none,0.9927176970964003,0.7483396366984938,0.991279602942465,0.9430341399844192,0.6111111111111112
37,30,5,low,none,0.9923592596044516,0.7450215497213036,0.9895661752887772,0.8864109249320783,0.625
37,36,5,low,none,0.9920339788656142,0.6811190065296597,0.9906177409520803,0.9532214493585637,0.6285714285714284
