exp_a,exp_b,stimulus,expertise_a,expertise_b,distance,score,source_file
41,71,rectangle,low,low,301.0,0.9465408805031448,Java_low_results.csv
37,176,rectangle,low,low,441.0,0.875,Java_low_results.csv
37,104,rectangle,low,low,244.0,0.8591549295774648,Java_low_results.csv
41,63,rectangle,low,low,288.0,0.9056603773584906,Java_low_results.csv
41,78,rectangle,low,low,278.0,0.8742138364779874,Java_low_results.csv
41,101,rectangle,low,low,285.0,0.8962264150943396,Java_low_results.csv
41,44,rectangle,low,low,272.0,0.8553459119496856,Java_low_results.csv
41,56,rectangle,low,low,259.0,0.8144654088050315,Java_low_results.csv
41,77,rectangle,low,low,327.0,0.9289772727272728,Java_low_results.csv
41,107,rectangle,low,low,280.0,0.8805031446540881,Java_low_results.csv
41,67,rectangle,low,low,282.0,0.8867924528301887,Java_low_results.csv
37,64,rectangle,low,low,336.0,0.9105691056910568,Java_low_results.csv
41,104,rectangle,low,low,289.0,0.9088050314465408,Java_low_results.csv
37,200,rectangle,low,low,219.0,0.9521739130434784,Java_low_results.csv
41,126,rectangle,low,low,304.0,0.9559748427672956,Java_low_results.csv
41,128,rectangle,low,low,262.0,0.8238993710691824,Java_low_results.csv
41,162,rectangle,low,low,295.0,0.9276729559748428,Java_low_results.csv
41,164,rectangle,low,low,297.0,0.9339622641509434,Java_low_results.csv
41,94,rectangle,low,low,290.0,0.9119496855345912,Java_low_results.csv
43,44,rectangle,low,low,148.0,0.9308176100628932,Java_low_results.csv
41,200,rectangle,low,low,274.0,0.8616352201257862,Java_low_results.csv
41,132,rectangle,low,low,388.0,0.9486552567237164,Java_low_results.csv
41,186,rectangle,low,low,272.0,0.8553459119496856,Java_low_results.csv
41,138,rectangle,low,low,284.0,0.8930817610062893,Java_low_results.csv
41,124,rectangle,low,low,288.0,0.9056603773584906,Java_low_results.csv
43,65,rectangle,low,low,144.0,0.9290322580645162,Java_low_results.csv
43,60,rectangle,low,low,234.0,0.9140625,Java_low_results.csv
41,99,rectangle,low,low,268.0,0.8427672955974843,Java_low_results.csv
41,64,rectangle,low,low,355.0,0.962059620596206,Java_low_results.csv
41,208,rectangle,low,low,295.0,0.9276729559748428,Java_low_results.csv
43,74,rectangle,low,low,131.0,0.8451612903225807,Java_low_results.csv
41,79,rectangle,low,low,282.0,0.8867924528301887,Java_low_results.csv
43,71,rectangle,low,low,145.0,0.935483870967742,Java_low_results.csv
43,63,rectangle,low,low,247.0,0.8790035587188612,Java_low_results.csv
41,60,rectangle,low,low,276.0,0.8679245283018868,Java_low_results.csv
43,94,rectangle,low,low,141.0,0.9096774193548388,Java_low_results.csv
41,179,rectangle,low,low,456.0,0.9175050301810864,Java_low_results.csv
43,67,rectangle,low,low,149.0,0.9490445859872612,Java_low_results.csv
43,64,rectangle,low,low,334.0,0.9051490514905148,Java_low_results.csv
43,99,rectangle,low,low,166.0,0.9595375722543352,Java_low_results.csv
43,56,rectangle,low,low,142.0,0.9161290322580644,Java_low_results.csv
43,107,rectangle,low,low,192.0,0.9230769230769232,Java_low_results.csv
43,77,rectangle,low,low,320.0,0.9090909090909092,Java_low_results.csv
41,140,rectangle,low,low,270.0,0.8490566037735849,Java_low_results.csv
43,140,rectangle,low,low,139.0,0.896774193548387,Java_low_results.csv
43,126,rectangle,low,low,275.0,0.9228187919463088,Java_low_results.csv
43,138,rectangle,low,low,148.0,0.9192546583850932,Java_low_results.csv
43,128,rectangle,low,low,214.0,0.8806584362139918,Java_low_results.csv
43,164,rectangle,low,low,179.0,0.8483412322274881,Java_low_results.csv
43,180,rectangle,low,low,149.0,0.9551282051282052,Java_low_results.csv
43,79,rectangle,low,low,240.0,0.9090909090909092,Java_low_results.csv
